path,sentence,clip,duration[ms]
common_voice_fr_41155447.mp3,Les premiers jeux d'aventure étaient proposés sous forme textuelle.,common_voice_fr_41155447.mp3,4500
common_voice_fr_40884068.mp3,"L'église de la Sainte Trinité, est le dernier grand bâtiment construit dans le sanctuaire.",common_voice_fr_40884068.mp3,13500
common_voice_fr_40874512.mp3,Nana jouait la modestie.,common_voice_fr_40874512.mp3,3060
common_voice_fr_41020281.mp3,Plusieurs membres sont tués et leurs découvertes sont détruites.,common_voice_fr_41020281.mp3,4644
common_voice_fr_41034068.mp3,Mais le projet prit du retard par manque de financement.,common_voice_fr_41034068.mp3,4752
common_voice_fr_40954170.mp3,"Ce démon a les yeux bleus, signe d'un don surnaturel de visionnaire.",common_voice_fr_40954170.mp3,5580
common_voice_fr_40926507.mp3,C’est ainsi qu’on appelle ici les accès de fièvre.,common_voice_fr_40926507.mp3,4212
common_voice_fr_41034023.mp3,La rue de Nemours est une voie publique située dans le de Paris.,common_voice_fr_41034023.mp3,5976
common_voice_fr_40887930.mp3,"À la fin du roman, le héros détruit l'armée d'Erebus.",common_voice_fr_40887930.mp3,9576
common_voice_fr_40923115.mp3,C'est une petite fougère herbacée dressée.,common_voice_fr_40923115.mp3,4572
common_voice_fr_41062692.mp3,La poésie et la littérature s'affranchissent des traditions continentales.,common_voice_fr_41062692.mp3,5940
common_voice_fr_41062952.mp3,Elle devait cette nature à la vie errante qu'elle avait toujours menée.,common_voice_fr_41062952.mp3,5328
common_voice_fr_40911755.mp3,Ces poissons sont territoriaux.,common_voice_fr_40911755.mp3,3132
common_voice_fr_40911757.mp3,Aucun prêt de manuscrits ne sera dorénavant autorisé qu’elle qu’en soit la raison.,common_voice_fr_40911757.mp3,5904
common_voice_fr_40910517.mp3,"Au cours des siècles, il fut partiellement enterré par exhaussement du sol.",common_voice_fr_40910517.mp3,6192
common_voice_fr_40910557.mp3,On faisait sur madame Albertine cent récits.,common_voice_fr_40910557.mp3,4680
